District,Total,Date,Population,Vac,,,,,
Tiruppur,138311,04-05-2021,"11,11,812",12440.14276,,,,,
Tiruvallur,188120,04-05-2021,"37,25,697",5049.256555,,,,,
Tiruvannamalai,83902,04-05-2021,"12,68,094",6616.386482,,,,,
Tiruvarur,46857,04-05-2021,"24,68,965",1897.839783,,,,,
Vellore,171174,04-05-2021,"16,14,242",10603.98627,,,,,
Villupuram,105867,04-05-2021,"20,93,003",5058.138952,,,,,
Virudhunagar,190673,04-05-2021,"19,43,309",9811.769513,,,,,
Ariyalur,23022,05-04-2021,"7,52,481",3059.479243,,,,,
Chengalpattu,136391,05-04-2021,"25,56,244",5335.601766,,,,,
Chennai,859997,05-04-2021,"71,00,000",12112.6338,,,,,
Coimbatore,210798,05-04-2021,"34,72,578",6070.360407,,,,,
Cuddalore,81335,05-04-2021,"26,00,880",3127.21079,,,,,
Dharmapuri,52007,05-04-2021,"15,02,900",3460.443143,,,,,
Dindigul,70189,05-04-2021,"21,61,367",3247.435535,,,,,
Erode,74568,05-04-2021,"22,59,608",3300.041423,,,,,
Kallakurichi,34570,05-04-2021,"13,70,281",2522.840206,,,,,
Kancheepuram,38553,05-04-2021,"11,66,401",3305.29552,,,,,
Kanniyakumari,64074,05-04-2021,"18,63,178",3438.96289,,,,,
Karur,36568,05-04-2021,"10,76,588",3396.656846,,,,,
Krishnagiri,87525,05-04-2021,"18,83,731",4646.364051,,,,,
Madurai,135747,05-04-2021,"39,91,038",3401.295603,,,,,
Nagapattinam,33791,05-04-2021,"16,14,069",2093.528839,,,,,
Namakkal,85860,05-04-2021,"7,35,071",11680.50433,,,,,
The Nilgiris,78776,05-04-2021,"24,71,222",3187.734651,,,,,
Perambalur,21594,05-04-2021,"17,21,179",1254.605128,,,,,
Pudukkottai,46085,05-04-2021,"5,64,511",8163.702744,,,,,
Ramanathapuram,37104,05-04-2021,"19,18,725",1933.784154,,,,,
Ranipet,25032,05-04-2021,"13,37,560",1871.467448,,,,,
Salem,207909,05-04-2021,"12,10,277",17178.62936,,,,,
Sivagangai,39410,05-04-2021,"34,80,008",1132.468661,,,,,
Tenkasi,36010,05-04-2021,"13,41,250",2684.808947,,,,,
Thanjavur,85328,05-04-2021,"14,07,627",6061.833142,,,,,
Theni,30172,05-04-2021,"27,13,858",1111.775192,,,,,
Thoothukudi,40451,05-04-2021,"12,43,684",3252.514304,,,,,
